T (s),RSU Intended-Tx,RSU-BTx-Car,RSU-PSR (%),Car P-Received,Car-PDR (%),RSU PDSR (%),Car Received power (dBm),CAR Intended-Tx,Car-Btx-RSU,RSU P-Received,RSU-PDR (%),RSU Received power (dBm),,,Car2 Rx,Car3 Rx,Car4 Rx,Car5 Rx,Car6 Rx,Car7 Rx,Car8 Rx,Car9 Rx,Car10 Rx,Car11 Rx,Car12 Rx,Car13 Rx,Car14 Rx,Car15 Rx,Car16 Rx,Car17 Rx,Car18 Rx,Car19 Rx,Car20 Rx,Car21 Rx,Car22 Rx,Car23 Rx,Car24 Rx,Car25 Rx,Car26 Rx,Car27 Rx,Car28 Rx,Car29 Rx,Car30 Rx,Car31 Rx,Car32 Rx,Car33 Rx,Car34 Rx,Car35 Rx,Car36 Rx,Car37 Rx,Car38 Rx,Car39 Rx,Car40 Rx,Car41 Rx,Car42 Rx,Car43 Rx,Car44 Rx,Car45 Rx,Car46 Rx,Car47 Rx,Car48 Rx,Car49 Rx,Car50 Rx,Car51 Rx,Car52 Rx,Car53 Rx,Car54 Rx,Car55 Rx,Car56 Rx,Car57 Rx,Car58 Rx,Car59 Rx,Car60 Rx,Car61 Rx,Car62 Rx,Car63 Rx,Car64 Rx,Car65 Rx,Car66 Rx,Car67 Rx,Car68 Rx,Car69 Rx,Car70 Rx,Car71 Rx,Car72 Rx,Car73 Rx,Car74 Rx,Car75 Rx,Car76 Rx,Car77 Rx,Car78 Rx,Car79 Rx,Car80 Rx,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,jammer 
21,10,7,70,0,0.00,35,-22.3168009,10,10,0,0,-23.2064692,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,740,734,728,722,716,710,704,698,692,686,680,674,668,662,656,650,644,638,632,626,620,614,608,602,596,590,584,578,572,566,560,554,548,542,536,530,524,518,512,506,500,494,488,482,476,470,464,458,452,446,440,434,428,422,416,410,404,398,392,386,380,374,368,362,356,350,344,338,332,326,320,314,308,302,296,290,284,278,272,266,666
22,10,8,80,0,0.00,40,-29.7847579,10,10,0,0,-21.4766401,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,753,747,741,735,729,723,717,711,705,699,693,687,681,675,669,663,657,651,645,639,633,627,621,615,609,603,597,591,585,579,573,567,561,555,549,543,537,531,525,519,513,507,501,495,489,483,477,471,465,459,453,447,441,435,429,423,417,411,405,399,393,387,381,375,369,363,357,351,345,339,333,327,321,315,309,303,297,291,285,279,699
23,10,6,60,0,0.00,30,-32.73684875,10,10,0,0,-26.9215831,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,766,760,754,748,742,736,730,724,718,712,706,700,694,688,682,676,670,664,658,652,646,640,634,628,622,616,610,604,598,592,586,580,574,568,562,556,550,544,538,532,526,520,514,508,502,496,490,484,478,472,466,460,454,448,442,436,430,424,418,412,406,400,394,388,382,376,370,364,358,352,346,340,334,328,322,316,310,304,298,292,732
24,10,8,80,0,0.00,40,-34.2286723,10,10,0,0,-32.7860654,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,779,773,767,761,755,749,743,737,731,725,719,713,707,701,695,689,683,677,671,665,659,653,647,641,635,629,623,617,611,605,599,593,587,581,575,569,563,557,551,545,539,533,527,521,515,509,503,497,491,485,479,473,467,461,455,449,443,437,431,425,419,413,407,401,395,389,383,377,371,365,359,353,347,341,335,329,323,317,311,305,765
25,10,7,70,0,0.00,35,-38.96073095,10,10,0,0,-33.2802167,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,792,786,780,774,768,762,756,750,744,738,732,726,720,714,708,702,696,690,684,678,672,666,660,654,648,642,636,630,624,618,612,606,600,594,588,582,576,570,564,558,552,546,540,534,528,522,516,510,504,498,492,486,480,474,468,462,456,450,444,438,432,426,420,414,408,402,396,390,384,378,372,366,360,354,348,342,336,330,324,318,798
26,10,6,60,0,0.00,30,-41.31255215,10,10,0,0,-40.2601068,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,805,799,793,787,781,775,769,763,757,751,745,739,733,727,721,715,709,703,697,691,685,679,673,667,661,655,649,643,637,631,625,619,613,607,601,595,589,583,577,571,565,559,553,547,541,535,529,523,517,511,505,499,493,487,481,475,469,463,457,451,445,439,433,427,421,415,409,403,397,391,385,379,373,367,361,355,349,343,337,331,831
27,10,4,40,1,25.00,33,-47.5609244,10,10,1,10,-53.9138216,,,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,818,812,806,800,794,788,782,776,770,764,758,752,746,740,734,728,722,716,710,704,698,692,686,680,674,668,662,656,650,644,638,632,626,620,614,608,602,596,590,584,578,572,566,560,554,548,542,536,530,524,518,512,506,500,494,488,482,476,470,464,458,452,446,440,434,428,422,416,410,404,398,392,386,380,374,368,362,356,350,344,864
28,10,3,30,1,33.33,32,-53.5354889,10,10,1,10,-55.620793,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,831,825,819,813,807,801,795,789,783,777,771,765,759,753,747,741,735,729,723,717,711,705,699,693,687,681,675,669,663,657,651,645,639,633,627,621,615,609,603,597,591,585,579,573,567,561,555,549,543,537,531,525,519,513,507,501,495,489,483,477,471,465,459,453,447,441,435,429,423,417,411,405,399,393,387,381,375,369,363,357,897
29,10,2,20,1,50.00,35,-56.82454165,10,10,1,10,-55.94697793,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,844,838,832,826,820,814,808,802,796,790,784,778,772,766,760,754,748,742,736,730,724,718,712,706,700,694,688,682,676,670,664,658,652,646,640,634,628,622,616,610,604,598,592,586,580,574,568,562,556,550,544,538,532,526,520,514,508,502,496,490,484,478,472,466,460,454,448,442,436,430,424,418,412,406,400,394,388,382,376,370,930
30,10,3,30,2,66.67,48,-53.0146625,10,10,1,10,-63.05348057,,,0,0,1,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,857,851,845,839,833,827,821,815,809,803,797,791,785,779,773,767,761,755,749,743,737,731,725,719,713,707,701,695,689,683,677,671,665,659,653,647,641,635,629,623,617,611,605,599,593,587,581,575,569,563,557,551,545,539,533,527,521,515,509,503,497,491,485,479,473,467,461,455,449,443,437,431,425,419,413,407,401,395,389,383,963
